ID,Synopsis,Title,MPAARating,Year,ViewerRating

for the worse and that sets up the drama in the movie as well as the 

completely predictable ending. 

      There is much to admire in this children's movie.  The acting is

pretty good.  Liesel Matthews gives a straight forward and simple 

rendition of Sara.  She never tries to manipulate your emotions; she 

just smiles a lot and delivers her lines.  I am not sure if she has 

much talent or not, but she is sweet.  Vanessa Lee Chester was given a 

small part and her acting consisted mainly of a lot nice smiling. 

      The best performance in the movie is that of the actress playing

the villain, Eleanor Bron - an easy person to hate.  Liam Cunningham 

gives a lifeless performance as the father.  I wished the director 

(Alfonso Cuaron) had kicked him in the pants a few times to get a 

little more energy out of him or even better had cast someone stronger. 

The Indian manservant who almost never spoke and whose name I did not 

catch was extremely effective.  Powerful eyes. 

      The real reason to see the show is for the magic of the images.

The set decoration by Robert W. Welch gave us golden leaves for the 

hopeful scenes and gray snow for the sad.  The street scenes of New 

York were wonderful and reminiscent of THE AGE OF INNOCENCE.  The 

cinematography by Emmanuel Lubezki, who should have won an Academy 

Award for LIKE WATER FOR CHOCOLATE, was worthy of Renoir.  The radiant 

colors in the story within a story set in India were incredible.  The 

best scene in the show had to be the one where the white snow burst 

into Sara's room like swirling white confetti and she danced in it in 

slow motion. 

      What was wrong with the show, other than the actors being too low

key and relying too much on smiles to carry the day, was the script by 

Elizabeth Chandler and Richard LaGravenese.  For some reason, they felt 

obliged to add overly dark, sinister, and scary parts to a movie that 

had a fine evil villain already in Eleanor Bron. 

      A movie that gets and flaunts his G rating needs not to be one

that can so easily and so needlessly scare small children.  Even 

Jeffrey, my 6 year old, got scared by it.  Be warned, therefore, than 

this is truly a PG show regardless of the advertising and of the 

official MPAA rating of G. 

      Let me give a few examples.  First, why do you have people dying

in war with bombs bursting everywhere in a G show?  Why have scene 

after scene of realistic battle carnage?  Why have a frightening 

monster with numerous heads that lash out biting at the screen as if 

they are about to eat every kid in the theater?  Finally, why must we 

have a realistic scene of a child about to die in a horrible accident? 

If all of these plot devices are necessary, make them less explicit, 

insist on getting a PG rating and warn parents.  I recently saw a 

harmless show, THE ENGLISHMAN WHO WENT UP A HILL, BUT CAME DOWN A 

MOUNTAIN, which got a PG rating for a couple of damns - which most kids 

hear everyday.  Very few children have ever seen real battle carnage. 

End of diatribe.  The movie IS good nevertheless. 

      A LITTLE PRINCESS runs a well edited (Steve Weisberg) 1:40.  My

son gave it a thumb sideways.  He hated the war scene he said, and 

although he claimed to have liked parts of the show, he was unable, 

when pressed, to name a single one.  I suspect kids 8 and older may 

like the movie more, and I suspect girls may be more fond of it than 

boys.  I enjoyed the picture and am awarding it ** 1/2. I recommend it 

to you with the above caveats about the violence. 

","Little Princess, A",G,1995,2.5

551,"

 To an aristocratic Scotland of large estates and big castles, 8-year-old 

Tony Thompson and his family have come on temporary assignment from San 

Diego.  Tony's parents are the types who tell the Scots to speak English 

when they have trouble understanding them.  While there, Tony befriends 

and bonds with a little vampire, Rudolph (Rollo Weeks), about his own 

age -- for the past 300 years. 

 Jonathan Lipnicki, charming in STUART LITTLE but cloying in JERRY 

MAGUIRE, is relatively benign this time as Tony.  With spiked hair full 

of gel, nerdy glasses and a frozen expression, he does nothing to 

enliven Ulrich Edel's THE LITTLE VAMPIRE, which is as dead as a vampire 

with a stake through its heart.  One supposes that the movie is meant to 

be taken as a comedy, but it is a low-key and lifeless one with its best 

scenes generating only a small grin.  It does, however, give a new 

meaning to the old expression, ""I could eat a cow.""  Nothing in this 

flat film is worth outright laughs.   

 With its cheap special effects and unattractive, bleak cinematography, 

the movie isn't much fun to watch either.  It's an unimaginative, 

low-budget feature that you would expect to be released as a 

direct-to-TV movie on a kids' cable network. 

 In a blend of the crazy exterminator from MOUSE HUNT and the maniacal 

snowplow man from SNOW DAY, Rookery (Jim Carter) comes to kill off a 

local ""infestation of vampires.""  Dressed like a bum and acting like a 

madman, Rookery carries a glowing cross made out of florescent tubes to 

control the vampires.  Of course, Tony will be threatened but will end 

up saving the day. 

 Parents need to be warned about this film whose trailers look innocent 

and which comes with just a PG rating.  It has significant potential to 

frighten younger viewers.  Among many troublesome scenes is one in which 

Tony emerges with a bloody mouth and face as if he has been sucking 

blood from someone's neck.  Later we briefly see a ketchup bottle 

sitting on a table, but kids will have long since been scared and 

probably won't notice the bottle anyway.  Another has Tony apparently 

buried alive in a casket with rats.  And overall the movie is filled 

with dark images and spooky atmospherics. 

 The childish story doesn't have much to recommend it to those over 12.  

Those under 9 could end up with some major nightmares.  The 9 to 

12-year-olds, however, are the perfect demographics for this lame 

production.  They deserve much better, but if you've got kids in this 

limited age group, they'll probably like it.  My son did. 

 THE LITTLE VAMPIRE runs 1:37.  It is officially rated PG for ""some mild 

peril,"" but remember my warning.  It would be acceptable for most kids 

over 8. 

 My son Jeffrey, age 11, gave the picture ****.  He said that he liked 

the way the movie had a strong but simple plot and that Rudolph was his 

favorite character.  His only complaint was that he didn't like the 

ending scene and that the PG rating was too mild.  He wanted a new 

""PG-8"" rating for it. 

",Little Vampire,PG,2000,1.5

552,"

 Richard LaGravanese is one of the most talented screenwriters

around, having won an Oscar-nomination for ""The Fisher King"" and high

praise for his adaptations of ""Beloved,"" ""The Bridges of Madison

County"" and ""The Horse Whisperer."" Now, he's also a first-time

director, fashioning an adult romantic comedy around a wealthy Fifth

Avenue divorcee (Holly Hunter) who has been dumped after 16 years by

her unfaithful doctor-husband (Martin Donovan) for a younger

woman. She's antsy and alone, given to concocting feisty, elaborate

fantasies of what the future holds in store. Longing for human

contact, she hangs out at Jaspers, an Upper West Side jazz club where

she drowns her loneliness in martinis while listening to the soulful

Queen Latifah. Inevitably, she ends up in the arms of a stranger,

Elias Koteas, who thinks he passionately desires her. But it's a case

of mistaken identity. However, his ardor re-awakens her interest in

someone other than herself - which then turns to the chubby elevator

man (Danny DeVito) in her apartment building. She discovers that he,

too, has a life filled with loss and dreams. He's a gambler with debts

and a dying daughter, and she unexpectedly finds comfort in his

company. Wearing a blonde wig, Holly Hunter once again delivers a

touching performance, filled with charming vulnerability, and Danny

DeVito has a gentle poignancy.  When the movie ends, you don't know

what's next for these multi-dimensional characters but you're

satisfied that some kind of contentment has come out of their

emotional chaos. On the Granger Movie Gauge of 1 to 10, ""Living Out

Loud"" is a bittersweet 6, a sentimental story about lost souls and

middle-aged friendship in Manhattan. 

",Living Out Loud,R,1998,3

553,"

Based on the popular, just-cancelled Disney channel series, ""Lizzie

McGuire,"" which I have been an unlikely fan of for several months

(at 21, I am about ten years past the target demographic), ""The Lizzie

McGuire Movie"" acts as a sort of farewell capper to the show and characters.

While transferring the series' lightweight humor and tone, the film

makes the grave mistake of turning the proceedings into what could

best be described as a far-fetched fantasy. The result is something

more dissatisfying and lazily written than expected.

 

For anyone who has watched the show already knows, Lizzie McGuire

(Hilary Duff) is a normal, sweet-natured 14-year-old whose accident-prone

ways leave her hanging just outside her school's popularity stratosphere

with best friends Gordo (Adam Lamberg) and Miranda (LaLaine, mysteriously

absent from the picture and off on a trip to Mexico). As celebration

for graduating middle school, Lizzie bids her parents (Hallie Todd,

Robert Carradine) and mischievous younger brother, Matt (Jake Thomas),

farewell, and sets off with Gordo and the rest of her classmates for

a two-week trip to Rome. Lizzie and Gordo are determined to experience

a few adventures along the way, but Gordo finds himself on the sidelines,

having to cover for Lizzie when she meets Italian pop star Paolo (Yani

Gellman), who claims she is a dead ringer for singing partner Isabella.

It seems they are contracted to perform together at an upcoming concert

at the Coliseum, but with Isabella missing in action, he needs someone

to stand in for her. Despite being horrified of public appearances,

Lizzie reluctantly agrees, immediately finding herself the center

of attention even as she must play the part of someone else--a task

she realizes isn't the right thing to do.

 

Directed by Jim Fall, whose debut was the 1999 gay romantic comedy,

""Trick,"" ""The Lizzie McGuire Movie"" is as light as a feather and as

insignificant as whipped cream, threatening to evaporate even as it

continues to play itself out. For a while, it works, thanks in no

small part to 15-year-old star-in-the-making Hilary Duff (2003's ""Agent

Cody Banks""), who is thoroughly delightful and identifiable as the

bubbly Lizzie McGuire. Duff commands the screen without even trying,

her 1000-watt smile able to brighten even the dimmest of scenes. It

also turns out she has quite a good singing voice, performing two

catchy pop songs, ""What Dreams Are Made Of"" and ""Why Not,"" the former

one acting as the centerpiece for the concert climax.

 

On entertainment value alone, ""The Lizzie McGuire Movie"" works better

than the recent Amanda Bynes comedy, ""What a Girl Wants,"" if only

because it moves at a quicker pace and is fifteen minutes shorter.

It doesn't take too long, however, to come to the disheartening realization

that screenwriters Susan Estelle Jansen, Ed Decter, and John J. Strauss

have done a slight disservice to the show from which it is based.

The dialogue is less witty by a half, and the show's mostly reality-based

storylines have been traded in for a bogus daydream fantasy about

celebrity treatment, lip-synching, and unexplained dopplegangers.

With every other scene dedicated to music montages (an act of desperation

to pad any movie's running time out), someone should have realized

before they fast-tracked this screenplay into production that it was

lacking most of what makes the series so darn endearing and fresh.

 

Aside from the lovely Duff, Alex Borstein (2002's ""Showtime"")--a former

cast member of ""MadTV,"" best known for her character of Ms. Swan--is

very funny as the trip's controlling, egomaniacal chaperone/tour guide

Miss Ungermeyer. Adam Lamberg is winning as Lizzie's curly-haired

best bud, Gordo, who secretly hopes their friendship could be more

than a platonic one. And Jake Thomas (2001's ""A.I.: Artificial Intelligence"")

is appropriately bratty and cute as Lizzie's little brother, Matt.

As her supportive parents, Hallie Todd and Robert Carradine (2001's

""Max Keeble's Big Move"") aren't around long enough to develop their

characters much more beyond what has already been played out on the small screen.

 

""The Lizzie McGuire Movie"" is undemanding entertainment, something

that will delight young girls even as it sends a misguided and unbelievable

message about what it takes to be happy and feel like you belong.

The ending is also too rushed to be satisfying, heading into the end

credits before it has gotten around to concluding some of the subplots

and characters. As much as I like Hilary Duff and ""Lizzie McGuire,""

they both deserved better than this underwhelming big screen outing.  

","Lizzie Mcguire Movie, The",PG,2003,2.5

554,"

In Spring of 1982 the biggest television event in former

Yugoslavia was the series of five science fiction films

being premiered on Belgrade state television. Among them

four were MGM classics made in late 1960s and 1970s - 2001:

A SPACE ODYSSEY, LOGAN'S RUN, WESTWORLD, DEMON SEED (fifth

was relatively obscure Croatian 1976 period horror

IZBAVITELJ). Those four films left strong and lasting

impression on the author of this review, reaffirming his

love of science fiction and helping him to shape his taste

in the movies, and also learning him to distinguish good

from bad examples of the genre. The impact was even

stronger, thanks to the fact that many of those films were

re-aired shortly afterwards, as part of daytime educational

program (and uncut, which should give you rather insightful

look into the censorship standards of former Yugoslavia). On

the other hand, although all those four films happened to be

great, there was only one that found special place in my

heart. It was LOGAN'S RUN, 1976 science fiction spectacle by

Michael Anderson. 

 The plot of the film is based on the 1967 novel by William

F. Nolan and George Clayton Johnson. It begins in the year

2274, in a world depopulated by industrial pollution where

the survivors live in the huge city under the dome. This

last remaining piece of civilisation is actually a nice

place to live - advanced machines, controlled by omni-potent

Computer, fulfil all existential needs, leaving inhabitants

to spend all their lives enjoying technological luxury, free

sex, hallucinogenic drugs and other exotic forms of

entertainment. However, due to the population limit, all

citizens must end their life at the age of thirty, being

subjected to spectacular quasi- religious ritual of Carousel

that offers vague hope of ""renewal"". Those who try to escape

Carousel and live past their thirtieth birthday are known as

Runners, and their capture and immediate execution is a job

for the police force known as Sandmen. Logan 5 (played by

Michael York) is a Sandman who is given a special task by

Computer - he must locate mythical place that shelters

Runners, known as Sanctuary, and destroy it. Logan, in order

to achieve that task, must pretend to be a Runner and thus

infiltrate the underground network of people who help

Runners in their escape. Logan gets in touch with beautiful

Jessica 6 (played by Jenny Agutter), one of the members of

that group, and slowly builds her trust. She leads him to

Sanctuary and Logan along the way falls in love with her,

begins questioning his own life as a Sandman and decides to

become Runner for real. But, Computer has sent another

Sandman, his former best friend and colleague Francis 7

(played by Richard Jordan) who would hunt two of them even

if it means going outside allegedly impenetrable city

limits. 

 LOGAN'S RUN is often referred as the best example of a

science fiction movie that didn't age very well. This is

most evident in the area of special effects. In 1976 MGM

spent huge sums of money for the special effects that were

state-of-the-art for its time and actually won an ""Oscar"".

But, only a year later, STAR WARS would set much higher

standards and make LOGAN'S RUN look cheap and laughable. We

become aware of film's age in the beginning, when the

audience, which is introduced to the futuristic city by

spectacular panoramas, actually sees rather pathetic

miniature models. Such impression is somewhat improved later

in the film, especially in the scenes featuring Washington

D.C. of the distant future. 

 But the problems for LOGAN'S RUN aren't limited to the

obsolete visual effects. Characters are sometimes given

lines that seem unrealistic, directed more towards the

audience than to each other. Music by usually reliable Jerry

Goldsmith is of variable quality -after the effective

opening theme that combines classical orchestration and

electronic instruments, he goes to more standard territory.

And Anderson as director uses that music on the wrong

scenes. The acting is, to put it mildly, bellow standards

you might expect in science fiction classics. Michael York

is not the best casting choice for the protagonist, looking

somewhat too intellectual for tough, macho hero of

futuristic action drama. His partner Jenny Agutter has

rather thankless role of classic damsel in distress, and she

is better remembered for her good looks and skimpy clothes

(and lack of in couple of moments, brief but well-

remembered by male science fiction fans in their early

teens). However, even her thankless role is well played, at

least compared with terrible acting by Farrah Fawcett in

episodic role that became legend of its own. Late Richard

Jordan, on the other hand, is excellent as Logan's

friend-turned-nemesis, bringing raw, masculine humanity to

his character, including some homoerotic overtones. His

total opposite is equally superb Peter Ustinov who gives

dignified portrayal of half-senile, almost childlike Old

Man. 

 But all that flaws, that turned LOGAN'S RUN into ""that film

that didn't age well"", ""that 1970s schlock"" and MST fodder,

are not so important for the overall impression of the film.

At least when we consider how different this film is from

science fiction cinema of today. Now we expect science

fiction films to feature CGI graphics, cool soundtracks and

spectacular action, which makes plot and characters less

important. But in 1976, before Lucas and Spielberg began

their infantilisation of American cinema industry, Hollywood

science fiction was built on different principles.

Interesting ideas, plots and characters were more important

than cool special effects. LOGAN'S RUN was made on those

principles, as a film that allowed viewers to use their

heads, as well as their senses, making them think long after

the end credits. 

 LOGAN'S RUN, like any good, thought-provoking vision of the

future, is actually built on some trends in the present. The

authors of original novel, written in 1967 (mediocre

according to most on-line critics, and, the author of this

review, after reading the sequel, tends to believe them),

were inspired by social turmoil of late 1960s and

counter-culture of younger generations, violently opposed

towards establishment of the older generations. They saw

this revolt as a consequence of unprecedented economic

prosperity and technological advances, making younger

generations, now unaffected by hardships of the past, less

motivated to take responsibility for their lives as their

parents had done. In the future, role of parents (and

welfare state) is taken by omnipotent technology and the

tables are turned - the younger generations now belong to

establishment; hedonism and instant self- gratification is

supreme social value and those who preach family, work and

responsibility are considered dangerous subversives. A

decade later, young rebels of 1960s grew older, world

economy was hit by fuel crisis, but hedonism was still

reigning supreme and the vision of the future in LOGAN'S RUN

was still very believable. And the idea of mandatory age

limits was not so alien to the generations that grew on

slogans like ""Don't trust anyone over thirty"". 

 This vision of future is, of course, hardly utopian. Script

by David Zelag Goodman, same as the novel, sees the brave

new world of LOGAN'S RUN as dehumanised, totalitarian and

sterile. Material wealth of this new world is by definition

limited, and so are the boundaries of space, as well of

creativity. Despite filmmakers' efforts to make the world as

exotic as 1970s America, we could still see monochromatic

fashion, so typical for typical totalitarian, oppressive

dystopias of classical science fiction. And the humanity in

this world, same as in classical story THE MACHINE STOPS by

E.M. Forster, is so accustomed to supertechnology that it

becomes doomed when this supertechnology begins failing (as

it happens in this film). What is more disturbing is the

fact that we might see seeds of this dystopia in our lives -

recently Y2K phenomenon was supposed to cause effects

similar to the ones seen in the last scenes of the film. 

 Perhaps some viewers wouldn't like the alternative to this

dystopia, which offer conservative worldview. Hedonism and

instant self-gratification ultimately lead to moral and

physical decay, as well as life without obligations, which

in the end becomes empty and pointless. Instead, people

should return to the ideals of glorious past (symbolised in

Washington D.C.) and re-embrace family, work and

responsibility. Those who follow such path, like the hero of

this film, would be rewarded with valuable experience of

past generations and thus get ability to beat corrupt,

decadent system. Taking this into account, the ending of the

film, often referred, as unbelievable embodiment of bad SF

stereotypes, actually becomes quite effective. The film ends

on positive note - although the powerful finale still leaves

one important question unanswered. Would society as a whole

be as successful as Logan and manage to survive its

transformation from bunch of decadent pleasure- seekers into

responsible human beings? 

 Whether LOGAN'S RUN happens to be conservative reaction on

the excesses of 1960s and 1970s or not, might be debatable.

But it still remains very interesting and entertaining piece

of classic science fiction cinema. 

",Logan's Run,NR,1976,3

555,"

 Adrian Lyne's previous films (9 And 1/2 Weeks, Fatal

Attraction, etc) have dealt with the nature of sexual attraction and

obsession, and his adaptation of Vladimir Nabokov's controversial 1958

novel Lolita further explores these themes.  However, free of the

strict moral and censorship code that shaped Stanley Kubrick's 1962

version, Lyne is able to explore the novel in far more detail.  Where

Kubrick largely alluded to the nature of the relationship between

Humbert and his precocious 12 year old step daughter, Lyne is able to

explore it in franker terms. 

 However, Lyne's intelligent and sensitive handling of the

provocative material and his sense of restraint is unexpected.  Lolita

is nowhere near as sexually explicit or torrid as its detractors would

have us believe, but is rather a more poignant and evocative tale of a

tragically doomed and illicit love affair.  Many writers, including

James Drearden, Harold Pinter, and even David Mamet, have attempted to

write a more contemporary flavoured adaptation of Lolita, but Lyne

found the perfect collaborator in former Vanity Fair film critic

Stephen Schiff, whose lyrical and melancholy script seems to capture

much of the book's flavour. 

 The two central performances are powerful and complex and

enhance the movie.  Jeremy Irons brings his usual pained and haunted

expression to the character of Humbert Humbert, the refined English

professor who comes to New England to take up a teaching assignment in

1947.  Humbert is still marked by the loss of an adolescent love that

has haunted him for the past quarter of a century.  He is initially

reluctant to take up lodging with the man hungry widow Charlotte Haze

(Melanie Griffith), until he spies her beautiful young daughter

Dolores (newcomer Dominique Swain). 

 Despite her childish demeanour, Dolores arouses long forgotten

feelings in Humbert.  He eventually marries Charlotte, just so he can

be close to Dolores, and successfully manages to avoid most of his

husbandly duties.  For a long time Charlotte misreads the attraction

between Humbert and her daughter.  Following the death of Charlotte,

Humbert and Dolores set out on a journey across an America slowly

recovering from the war and emerging with a recognition of its own

identity and culture. 

 Irons brings sophistication and urbane charm to the role, and

makes Humbert something of a sympathetic figure.  He convincingly

conveys Humbert's ever increasing sense of guilt and remorse.  His

voice over narration provides insight into his obsession, and also

adds some touches of droll humour.  Lyne uses some neat cinematic

tricks to illustrate Humbert's disquieting inner nightmares as he

begins to lose control of the relationship.  Irons gives a confident

and convincing performance in this tricky role, whereas James Mason

always seemed uncomfortable. 

 In a remarkably assured debut performance, Swain (who went on

to play Nicolas Cage's daughter in the action thriller Face/Off) is a

wonderfully seductive and manipulative nymphet.  Swain beautifully

mixes childlike innocence with an earthy quality and a smouldering

sexuality that sears across the screen. 

 Frank Langella (from Dave, etc) is truly creepy as the

enigmatic and predatory Quilty.  In the early stages, he is mainly

seen in shadows and gloomy lighting, which gives him a sinister,

mysterious and somehow menacing quality. 

 Lyne's adaptation of Lolita finally reaches our screens,

following a year of protracted debate over whether it is pornography

or art, and whether it should be banned.  Not since Martin Scorsese's

The Last Temptation Of Christ has a film had so much free

pre-publicity, which certainly won't harm it at the box office.  Far

from glorifying paedophilia, as most of the film's detractors have

claimed, Lolita ends badly and tragically for all concerned.  In fact,

the most disturbing scene is the Taxi Driver-like violence at the end

when Humbert confronts the monstrously amoral Quilty in his own

mansion. 

 The film is visually rich, and has a beautiful, glossy, almost

romantic surface that seduces the audience, despite its dubious

subject matter.  Howard Atherton's exquisite cinematography brings to

life the rich American landscapes through which Humbert and Lolita

travel on their odyssey.  Ennio Morricone's lush score further

enriches the movie. 

",Lolita,R,1998,2.5

556,"

Though the opener last year brought in $860 million through

worldwide distribution and earned thirteen Oscar nominations, I'm

no more the target audience for the ""Lord"" trilogy than I am for

Richard Wagner's ""Ring"" cycle.  Watching this blaze of cinematic

glory, then, I pretended that ""The Two Towers"" is allegorical, that

the characters in the movie are stand-ins for real life people in

today's political world.

 

Let's see how.  The title ring confers great, albeit ambiguous,

power on whoever possesses it, which makes the chief hobbit,

Frodo (Elijah Wood) together with his Sancho Panza-like Sam

(Sean Astin) determined to destroy it.  Therein lies the only

opportunity for peace in the Middle Earth, now presumably at the

mercy of the white-bearded and white-garbed Saruman

(Christopher Lee) who is determined to rule the world like some

scuzz out of 007.  A viewing of ""Lord of the Rings: The Fellowship

of the Ring"" is not essential to pick up the story, which is framed

as a struggle between the forces of good and the armies of evil.

 

The principal newbie is a computer generated image that

speaks gibberish, Gollum (Andy Serkis), a small, anorectic-thin

creature that could have some out the final scene of ""2001` who is

understood by Frodo while the audience gets the gist of his

meaning.  Gollum is actually a hobbit who went nuts by holding

onto the ring for centuries  Yet another computer generated

character, amazing in its conception, is Treebeard (John Rhys-

Davies), from the race of Ents, who is called upon to join the

forces of good in the upcoming war.

 

Though we have to listen to the nutcase nonsense spouted by

Gollum, we are riveted by the best parts of the movie, the battles

which are many and not far between.  On the side of good,

Gandalf (Ian McKellen) survives an awe-inspiring drop into the

bowels of the Earth, assumed to be lost forever in a ferocious fight

with the dragon-like Balrog.  

 

For romance we get the strange joining in kisses of Arwen the elf

(Liv Tyler) and Aragorn, the handsome human (Viggo Mortensen),

which seems to be to come out of the blue and is hardly the sort

of sizzler that could have lost ""The Two Towers"" its PG-13 rating.

 

The series of battles is merely a preparation for the Big One,

which takes place in Helm's Deep, in which a collection of

alliances join in an Armadeggon-like struggle against the evil

Saruman and his large, well-armed armies to say nothing of

Saruman's power to put even a good king (Theoden played by

Bernard Hill) under spells to render him powerless.

 

Now then, my apologies to those who think that Saddam

Hussein is merely a comical dictator without the ability to make

war against the great powers, but to me, Saddam is the evil

wizard Saruman.  As Saruman casts a spell on the good King

Theoden, so the Iraqi dictator works his charms on the people of

his country who elect him with 100% of the vote. (Never mind that

the Kurds were as likely to vote for him as the Jewish seniors in

Florida were to vote for Pat Buchanan.)  As Saruman gathers

together his alliance, so Mr. Hussein attempts to convince the

Muslim world that the upcoming war is a clash of civilizations,

requiring all followers to ally themselves against the West.  As the

governing bodies on the continent of Europe are reluctant to join

the U.N. in fighting Iraq but are expected to do so once the action

begins, so does Treebeard believe that ""this is not our war,"" that

is, until he realizes that the bad wizard is about to torch him and

his fellows.

 

The convoluted plot notwithstanding, what gives the ""Lord""

trilogy its heft, its huge box office, are the special effects

(supervised by Jim Rygiel), particularly the character of

Gollum whose insanity makes him out to do nasty things to the

hobbits until Frodo convinces him to snap out of it and come

around to the right side.  Aside from the genius of Gollum's

creation, this CGI is the one character with conflicting motives

amid thousands who are convinced of the morality of the sides

they have chosen.  We marvel at the storm clouds of war, the

bevy of arrows that darken what little exists of sun, the camera

which in the hands of Andrew Lesnie swoops across the height

and depths of Middle Earth to set the stage for Armageddon while

capturing the David-and-Goliath struggle of the outnumbered

forces of good.  If a real story about real people is what you prefer,

then you'd best choose among the more weighty films, comedies,

musicals and melodramas alike, such as ""Adaptation,"" ""Antwone

Fisher,"" and ""About Schmidt.""

","Lord Of The Rings: The Two Towers, The",PG-13,2002,3

557,"

In the two years since the release of 2001's ""The Lord of the Rings:

The Fellowship of the Ring,"" awareness and general fandom for the

film adaptations of J.R.R. Tolkien's epic fantasy trilogy has grown

to near-astronomical levels. At this point, to not be familiar with

the story of Frodo, Gandalf, Aragorn, and the rest of the characters

is to be living on a different planet than the rest of us. And thanks

to director Peter Jackson's grandiosity in scope and imagination,

passion for the source material, and skill at emotional adeptness,

""The Lord of the Rings"" has, for many people, ceased being a mere

motion picture and become something more akin to a spiritual experience. 

 

If ""The Fellowship of the Ring"" was a tightly executed, exciting opener

that naturally lacked a conclusion, and 2002's ""The Two Towers"" was

a disappointing, generally sloppy and dull follow-up that had no beginning

or end, then the final installment, ""The Return of the King,"" not

only improves upon the latter, but also surpasses all expectations

set up by the former. So majestic, so magical, so awe-inspiring, so

behemoth in scale, and so extraordinarily brought to lif e is nearly

every minute of ""The Lord of the Rings: The Return of the King"" that

it not only breaks the curse of the lacking third feature in trilogies

(i.e. ""The Return of the Jedi,"" ""The Matrix Revolutions""), but it

makes its predecessors look positively quaint in comparison. To say

that ""The Return of the King"" is this already-classic trilogy's paramount

achievement is to understate things. 

 

Once again, director Peter Jackson has made it imperative that viewers

be more than a little familiar with the two previous films, wasting

no time dropping us into the middle of the narrative. As hobbits Frodo

(Elijah Wood) and Sam (Sean Astin) continue to make their way to Mordor's

Mount Doom to destroy the dangerously sacred One Ring, emaciated,

muliple-personalitied guide Gollum (Andy Serkis) attempts to lead

Frodo into the path of danger and turn him against best friend Sam

in a secret attempt to steal the ring for himself. With the intoxicating

allure of the ring taking its toll on the exhausted Frodo, Sam suddenly

finds himself gaining the strength needed to see that they both complete

their mission, or die trying. 

 

Meanwhile, with Rohan's battle at Helm's Deep behind them, wizard

Gandalf (Ian McKellen) and hobbit Pippin (Billy Boyd) set out for

the city of Minas Tirith to warn the citizens of an imminent invasion,

while human warrior Aragorn (Viggo Mortensen), elf Legolas (Orlando

Bloom), hobbit Merry (Dominic Monaghan) and dwarf Gimli (John Rhys-Davies)

go looking for other forces to fight beside them in the ultimate battle for Middle Earth. 

 

As much of an awesome technical triumph as ""The Fellowship of the

Ring"" and ""The Two Towers"" were, it is clear that director Jackson

was saving all of his major goodies for last. ""The Lord of the Rings:

The Return of the King"" not only raises the bar to even grander heights,

b ut it may very well go down as one of the most astounding visual

spectacles ever made, and with good reason. The enormity of this concluding

chapter does not only cover its running time (at 201 minutes, it is

over twenty minutes longer than the other pictures and at least three

times as entertaining as ""The Two Towers""), but also its flawless

aesthetic artistry. Even if it doesn't seem possible going in, ""The

Return of the King"" stands as a new watermark for the evolution of

visual effects. So realistic are they, and so seamlessly are they

woven into the sweeping exhilaration of Andrew Lesnie's cinematography,

that one immediately stops thinking of the computer-generated images

as effects and believes them to be nothing but genuine. 

 

In retrospect, the choppy, underwhelming Battle at Helm's Deep featured

in ""The Two Towers"" seems to have been a deceptiv e plea on Jackson's

part for audiences to believe he was incapable of pulling off large-scale

battle sequences. In ""The Return of the King,"" he pulls the rug out

from under the viewer in a joyous way, unleashing a two-part assault

known as the Siege of Minas Tirith and the Battle of Pelennor Fields

that has to be seen to be believes. Bringing together most of the

characters and different breeds of creatures for the first time, this

one-hour-plus action setpiece is one of the cinema's most rousing,

riveting, mind-blowing stretches of eye and ear candy to ever be conceived.

These battles are more than just a lot of noise and fire; they involve

strategy, intelligence, narrative coherence, and a progression of

the plot that proves to be fully satisfying. 

 

""The Return of the King"" is an immersive experience, never less than

truly involving and wondrous. Because of this, its couple flaws do

not weigh down on the film as a whole in any significant way like

the more readily apparent pro blems with ""The Two Towers"" did. In

adapting such an immense novel to film, rough edges are bound to be

found, anyway, and the editing by Jamie Selkirk and Annie Collins

is this go-round's biggest offender. The wide range of locations the

film switches back and forth from in the opening hour can become challenging

to sort out, and certain story threads disappear for what in the film's

timeline is several days, but are picked up in the same spot where

they were left off. These transitions are jarring, but not catastrophic in the long run. 

 

